ID,HOBBS_N,KNOWN AS,PLACE,REGION,COUNTRY,LAT,LONG,Loc_Q,D_TPQ,START_D,START_Q,END_D,END_Q,DATE_EP,DATE_LP,YEAR_DISC_START,YEAR_DISC_END,YEAR_DISC_Q,YEAR_DISC_LITERAL,EGW_MIN,EGW_MAX,EGW_Q,AV_Literal,AV_DENOM1,AV_COUNT1,AV_COUNT_Q1,AV_DENOM2,AV_COUNT2,AV_COUNT_Q2,AV_DENOM3,AV_COUNT3,AV_COUNT_Q3,AV_COUNT_TOT,AV_COUNT_TOTAL_Q,AV_C_WT_MIN,AV_C_WT_MAX,AV_C_WT_Q,AR_LITERAL,AR_DENOM1,AR_COINS1,AR_COINS_Q1,AR_DENOM2,AR_COINS2,AR_COINS_Q2,AR_DENOM3,AR_COINS3,AR_COINS_Q3,AR_COUNT_TOT,AR_COUNT_TOTAL_Q,AR_C_WT_MIN,AR_C_WT_MAX,AR_C_WT_Q,AE_COINS,NON_C_MIN,NON_C_MAX,NON_C_Q,METAL_MIN,METAL_MAX,NON_COIN,COMMENT,DISC_CIRC,DISPOSITION,REFERENCE
1072,1387,Brestov,Brestov,Mukachevski,Ukraine,48.42903,22.70582,,364,117,,394,,117/38,364/94,,,,,155.5,155.5,ca. +,"A, Q, S: 18, 1, 5",A,18,,Q,1,,S,5,,24,,155.45,155.45,ca.,,,,,,,,,,,,,0,0, ,,,,+,155.45,155.45,The find also included some small AV ingots and an AV chain fragment.,"Sabina (wife of Hadrian) to Valens.  Three coins were pierced, 10 had suspension loops",,Budapest National Museum,"Kropotkin 1962, 222, number 398"
207,1390,Bruzgovo,Bruzgovo,Khaskovo,Bulgaria,41.934091,25.558834,,364,284,taq,394,,pre-284,364/94,,,,,11.7,11.7, ,"A, S: 1, 1",A,1,,S,1,,,,,2,,11.7,11.7, ,,,,,,,,,,,,,0,0, ,,,,,11.7,11.7,,1 aureus of Probus; 1 solidus of Procopius. Terminus post quem ca. 365,,dispersed,"CH VI.181; Bland 1997, table 4, number 109"
151,1607,Belmonte,Belmonte,Castelo Branco,Portugal,40.405884,-7.329758,,411,161,?,425,,161/80?,411/25,,,,,11.7,11.7, ,"A, S: 1, 1",A,1,,S,1,,,,,2,,11.65,11.65, ,,,,,,,,,,,,,0,0, ,,,,,11.65,11.65,,"an uncertain number of coins, including 1 aureus of Marcus Aurelius and 1 solidus of Honorius",,,"Bost et al. 1992, 41, number 23"
1491,1359,Nielles-lès-Calais,Nielles-lès-Calais,,France,50.90691,1.830028,,348,296,,363,,296/318,348/63,1639,1639,,,18.7,18.7,ca.,"A, S: 1, 3",A,1,,S,3,,,,,4,,18.65,18.65,ca.,,,,,,,,,,,,,0,0, ,,,,,18.65,18.65,,"Maximinus Herculus (aur.), Magnentius; Terminus post quem ca. 350/53",,,TAF II: 56; Guest 1994
747,1348,Ljubljana I,Ljubljana (Emona),,Slovenia,46.047522,14.545544,,348,310,,363,,310/13,348/63,1910,1910,,,403.4,403.8, ,"A, S: 1, 49",A,1,,S,49,,,,,50,,225.62,225.62, ,Si: c.9,Si,9,ca.,,,,,,,9,,19.2,27.6,ca.,,2647.24,2647.24,,2892.06,2900.46,"also 9 AR ingots: 1. 15.6cm, 376.10g; 13.8cm, 356.82g; 15.9cm, 357.89g; 14.5cm, 390.24g; 15.6cm, 308.53g; 15cm, 383.75g; 15.4cm, 208.90g; 15.1cm, 187.78g; 12cm, 77.23g. Total weight of ingots: 2647.24g.",AV weight actual. Bland has Terminus post quem ca. 350.,found on excavs. of Insula IV with pot,dispersed,"Schmid 1913; Mirnik 1981, number 292; Duncan 1993; FMRSl I.155/2; Guest 1994; Bland 1997, table 4, number 87; Wiegels 2003, numbers 69-77"
1858,1308,Holyhead,Holyhead,Gwynedd,Great Britain,53.309529,-4.633516,,330,284,,348,,284,330/48,,,,,54,59.9, ,"A, S: 12",A,,,S,,,,,,12,,54,59.9, ,,,,,,,,,,,,,0,0, ,,,,,54,59.9,,Terminus post quem ca. 337,,,"Arch. Camb. 1868, 396; Bland 1997, table 4, number 1; Robertson 2000, number 1066"
1077,1326,Chinadiyevo,Chinadiyevo,Svalyavski,Ukraine,48.490899,22.809677,,348,138,,363,,138/61,348/63,,,,,18.8,18.8, ,"A, S: 2, 1",A,2,,S,1,,,,,3,,18.75,18.75, ,,,,,,,,,,,,,0,0, ,,,,,18.75,18.75,,"Antoninus Pius, S. Severus (both with loops), Julian",,,"Kropotkin 1962, 226, number 428"
1786,1375,Water Newton I,Water Newton,Cambridgeshire,Great Britain,52.560206,-0.36711,,348,300,,363,,early 4th. century AD,348/63,1974,1974,,,201.4,201.4, ,"A, S: 4, 26",A,4,,S,26,,,,,30,,137.3,137.3,ca.,,,,,,,,,,,,,0,0, ,,1100.3,1100.3,,1237.6,1237.6,"1. Pottery vessel: lidded. 2. AE bowl:  thin sheet, handles found inside. 3. AR plate: folded. weight: 642g. 4. AR plate: folded. weight: 321g. 5. AV coins. 6. Linen lined leather purse. AV: 137.3g AR: 963.0g","Coins from Constantine to Constantius II. For more details see Painter, 1977 & Carson & Burnett 1979",found in a field 200 metres from the A1.,The British Museum,"Durobrivae 3, 1975, 10-12; Kent & Painter 1977; Painter 1977; Carson & Burnett 1979; Archer 1979, 62, number 59; Bland 1997, table 4, number 2"
1530,1540,Metelin,Metelin,,Poland,51.039603,22.045964,,395,222,,410,,222/35,395/410,,,,,34.9,39, ,"A, S: 4, 3",A,4,,S,3,,,,,7,,34.87,38.95, ,,,,,,,,,,,,,0,0, ,,,,,34.87,38.95,,Earliest is a gold coin of Severus Alexander.,,,"Bolin 1926, 126 number 23; Kent 1994; Bland 1997, table 4, number 277"
385,1283,Ušće,Ušće,Skela,Serbia,43.466549,20.608969,,296,311,,318,,311/13,296/318,,,,,27.8,27.8, ,"A, S: 5",A,5,,S,,,,,,5,,27.8,27.8, ,,,,,,,,,,,,,0,0, ,,,,,27.8,27.8,,"3 aurei; 1 ‘festaureus’ (RIC VII Trier, p.164, number9: 5.3g); 1.5 solidus multiple, Constantine I. Terminus post quem ca. 317",,,"Mirnik 1981, 311; Duncan 1993; Bland 1997, table 4, number 96"
1924,1648,Klein-Tromp,Klein-Tromp (Braniewo),,Poland,54.283333,19.85,,425,238,,456,,238/44,425/56,,,,,511.8,511.8,ca.,"A, S: c.115",A,,,S,,,,,,115,ca.,511.75,511.75,ca.,,,,,,,,,,,,,0,0, ,,,,,511.75,511.75,,97 identified; earliest Gordian III at Rome ‘P M TR P II COP PP’; latest Pulcheria. Terminus post quem ca. 440,,,"Kent 1994; Bland 1997, table 4, number 278"
816,1881,Firtusu,Firtusu (Firtos-Varalya),,Romania,46.426334,25.150206,,610,270,,640,,270/75,610/640,,,,,1335,1335,ca.,"A, S: c.300",A,,,S,,,,,,300,ca.,1335,1335,ca.,,,,,,,,,,,,,0,0, ,,,,,1335,1335,,Five seen; Aurelian to Heraclius (ca. 620).,,,"Bolin 1926, 187; Kent 1994"
1519,670,Berlare,Berlare,Flandre-Or.,Belgium,51.017444,4.005882,,260,260,,275,,260/75,260/75,,,,,0,0,ca.,A: ?,A,,,,,,,,,,,0,0, ,,,,,,,,,,,,,0,0, ,,,,,0,0,,many aurei of Postumus,,,"Thirion 1967, 53, number 25; Brenot & Loriot 1992, 270, number 38"
126,947,Reguengo,Reguengo,,Portugal,39.297394,-7.393038,,260,238,,275,,238/60,260/75,,,,,17.9,67.5,ca.,A: ?,A,,,,,,,,,,,4.4,5.12,+,a: 750,a,750,,,,,,,,750,,203.5,936.5,ca.,,,,,207.9,941.62,,750 antoniniani/aurei,,,Rivista de Guimaraes 92 (1983): 3-85; Guest 1994
980,378,Kingersheim,Kingersheim,Ht-Rhin,France,47.789678,7.334723,,238,161,,260,,161/80,238/60,,,,,7.2,7.2,+,A: 1,A,1,,,,,,,,1,,7.2,7.2, ,,,,,,,,,,,,,,,,,,,+,7.2,7.2,"also 2 rings (uncertain, as yet, if AR or AV).",AR coins from Antoninus Pius to Trajan Decius;  Terminus post quem 249/51.,,,"Brenot & Loriot 1992, 266, number 14"
677,575,Tunnel de l'Épine,Tunnel de l'Épine,Savoie,France,45.57828,5.824614,,238,,,260,,,238/60,,,,,4.5,4.5,ca.,A: 1,A,1,,,,,,,,1,,4.4,4.4, ,a: ?,a,,,,,,,,,,,0,1.25, ,,,,,4.4,5.65,,aureus of Gordian III. AR coins run up to Gordian III,,,"TAF V/2, 75, number18; Brenot & Loriot 1992, 267, number 19"
145,984,Serra do Condäo,Serra do Condäo,,Portugal,40.177067,-8.895009,,260,238,,275,,238/60,260/75,1870,1870,,,4.7,5.5,ca.,A: 1,A,1,,,,,,,,1,,4.4,4.4, ,a: 14,a,14,,,,,,,,14,,4.8,16.5, ,,,,,9.2,20.9,,1 aureus of Gallienus,,,"Bost et al. 1992, 60, number 155; Brenot & Loriot 1992, 267, number 17; Guest 1994"
1495,1343,Köln III,Köln (Stephanstraße),Nordrhein-Westfallen,Germany,50.934088,6.95681,,348,161,,363,,161/80,348/63,,,,,5.5,9.5,ca.,A: 1,A,1,,,,,,,,1,,5.04,7.2, ,a: 14,a,14,,,,,,,,14,,6.5,34.1, ,4057,,,,11.54,41.3,,,,,"FMRD VI 1, 1: 1003/3a-d; Guest 1994"
813,1105,Dámbel,Dámbel,Bolzano,Italy,46.405469,11.092998,,275,260,,296,,260/75,275/96,1894,1894,,,8.7,11.4,ca. +,A: 1,A,1,,,,,,,,1,,5.34,5.34, ,a: 284,a,284,,,,,,,,284,,51.2,90.8, ,,,,+,56.54,96.14,also a spoon and a dish.,AV coin weight actual.,,,"Gorini 1992, 192, number 12; Brenot & Loriot 1992, 272, number 62; Guest 1994"
1497,1310,Köln I,Köln (Maria im Kapitol),Nordrhein-Westfallen,Germany,50.937531,6.960279,,330,260,,348,,260/75,330/48,1889,1889,,,5.2,5.2,+,A: 1,A,1,,,,,,,,1,,5.12,5.12, ,a: 5+,a,5,+,,,,,,,5,+,1.5,1.5,+,5223,,,,6.62,6.62,,5223 nummi,,,FMRD VI/1.1: 1003/4a-n; Guest 1994
1029,1261,Kellmünz,Kellmünz,Bayern,Germany,48.122457,10.127143,,296,284,,318,,284,296/318,1952,1952,,,6.3,6.3, ,A: 1,A,1,,,,,,,,1,,5.3,5.3, ,arg: 5,Arg,5,,,,,,,,5,,15,15, ,1307,,,,20.3,20.3,,Aureus of Galerius (ca. 305). 5 argentei. Terminus post quem ca. 308,,,"FMRD I/7, 7157; Brenot & Loriot 1992, 272, number 57; Guest 1994; Bland 1997, table 4, number 66"
