Letter_ID,Date_Min,Date_Max,Destination_ID,Recipient_ID,Carrier_ID
0399,355,355,Constantinople,001,000
0560,357,357,Constantinople,001,001
0156,360,360,Phoenicia,001,002
0158,360,360,Palestina Prima,002,000
0159,360,360,Phoenicia,001,000
0166,360,360,Phoenicia,001,000
0175,360,360,Phoenicia,001,003
1460,363,363,Phoenicia,001,004
0838,363,363,,003,000
1357,363,363,Apamea,004,000
1360,363,363,,003,000
1392,363,363,Tarsus,003,000
1411,363,363,Cilicia,003,000
298,361,361,Galatia,005,005
651,361,361,Galatia,005,000
732,362,362,Galatia,005,000
1174,364,364,Cappadocia,005,000
1222,364,364,Cappadocia,005,000
1223,364,364,Cappadocia,006,000
1514,365,365,Cappadocia,005,000
656,361,361,Armenia,007,000
779,362,362,Galatia,007,000
791,362,363,Galatia,007,006
1350,363,363,Galatia,007,000
1354,363,363,Galatia,007,000
1381,363,363,Galatia,007,007
1230,364,364,Alexandria,008,008
458,355,355,Bithynia,009,009
459,355,355,Bithynia,010,009
315,357,357,Palestine,011,000
332,357,358,Palestine,011,000
354,357,358,Palestine,011,000
361,357,358,Egypt,012,000
75,359,359,Constantinople,013,010
95,359,359,Euphratensis,014,000
83,359,359,Constantinople,015,011
215,360,360,Euphratensis,016,012
142,359,360,Euphratensis,017,000
625,361,361,Euphratensis,017,013
629,361,361,Euphratensis,017,000
715,362,362,Cilicia,018,000
735,362,362,Cilicia,019,000
632,362,362,Egypt,020,000
697,362,362,Cilicia,021,000
763,362,362,Arabia,022,000
336,357,357,Phoenicia,023,000
119,357,357,Phoenicia,023,014
799,362,363,Phoenicia,023,000
800,362,363,Phoenicia,023,000
1422,363,363,Phoenicia,023,015
