Letter_ID,Norman_1992,Cabouret_2000,Bradbury_2004,Cribiore_2007
399,,,B86,
560,,,B87,
156,,,B88,
158,,,B89,
159,,,B90,
166,,,B91,
175,,,B92,
1460,,,B93,
838,,,B94,
1357,,,B95,
1360,,,B96,
1392,,,B97,
1411,,,B98,
298,,,B99,
651,,,B100,
732,,,B101,
1174,,,B102,
1222,,,B103,
1223,,,B104,
1514,,,B105,
656,,,B106,
779,,,B107,
791,,,B108,
1350,,,B109,
1354,,,B110,
1381,,,B111,
1230,,,B112,
458,,,B113,
459,,,B114,
315,,,B115,
332,,,B116,
354,,,B117,
361,,,B118,
75,,,B119,
95,,,B120,
83,,,B121,
215,,,B122,
142,,,B123,
625,,,B124,
629,,,B125,
715,,,B126,
735,,,B127,
632,,,B128,
697,,,B129,
763,,,B130,
336,,,B131,
119,,,B132,
799,,,B133,
800,,,B134,
1422,,,B135,
1218,,,B136,
1124,,,B137,
1135,,,B138,
1170,,,B139,
1208,,,B140,
1217,,,B141,
1183,,,B142,
1155,,,B143,
482,,,B52,
503,,,B53,
506,,,B54,
438,,,B55,
512,,,B56,
535,,,B57,
549,,,B58,
563,,,B59,
578,,,B60,
583,,,B61,
339,,,B62,
348,,,B63,
362,,,B64,
386,,,B65,
251,,,B66,
265,,,B67,
242,,,B68,
108,,,B69,
154,,,B70,
220,,,B71,
293,,,B72,
617,,,B73,
804,,,B74,
1367,,,B75,
1368,,,B76,
666,,,B77,
253,,,B78,
668,,,B79,
1188,,,B80,
1266,,,B81,
40,,,B82,
99,,,B83,
252,,,B84,
793,,,B85,
1259,,,B51,
1173,,,B50,
1148,,,B49,
1114,,,B48,
1113,,,B47,
1449,,,B46,
1443,,,B45,
1399,,,B44,
