Pleiades Name, Custom Name, English Name, Greek Name, Latin Name, Type, Time Period, Pleiades ID, Map Number, awmc_id, perseus_link, wikipedia_link, geometry
"Antiochia/Theoupolis","","Theoupolis","Ἀντιόχεια ἡ Μεγάλη","Theoupolis","settlement","M1AHHRRRTLLPCEASMRCCIOE1LMM","658381","","","","","{""type"":""Point"",""coordinates"":[36.165318,36.200663]}"
"Constantinopolis","","Constantinopolis","","Constantinopolis","church, urban, settlement, amphitheatre","RLMM","520998","","","","","{""type"":""Point"",""coordinates"":[28.9725513,41.0090907]}"
"Spalatum","","Spalatum","Aσπάλαθος ","Spalatum","settlement, temple","RLM","197524","","","","","{""type"":""Point"",""coordinates"":[16.442449,43.506883]}"
"Roma","","Rome","Ρώμη","Roma","urban, settlement, temple","ACHRLM","423025","","","","","{""type"":""Point"",""coordinates"":[12.4861685,41.8917375]}"
"Nicomedia","","Nicomedia","Αστακός","Nicomedia","settlement","M1MHHRRRTLLLPEARCOE1OLOM","511337","","","","","{""type"":""Point"",""coordinates"":[29.919887,40.7651905]}"
"Col. Augusta Treverorum","","Trier","","Col. Augusta Treverorum","settlement, amphitheatre, bath","RLMM","108894","","","","","{""type"":""Point"",""coordinates"":[6.64376,49.756227]}"
"Alexandria","","Alexandria","Αλεξάνδρεια","Alexandria","theatre, cemetery, port, architecturalcomplex, settlement, temple","MN1AHHHPPRRRTLLPCEASITE1OLKOM","727070","","","","","{""type"":""Point"",""coordinates"":[29.9079146667,31.1982456667]}"
"Illyricum","","Illyricum","","Illyricum","province","CH","481865","","","","","{""type"":""Point"",""coordinates"":[19.444876,41.316435]}"
"Ravenna","","Ravenna","","Ravenna","settlement, temple, church","CHRLM","393480","","","","","{""type"":""Point"",""coordinates"":[12.2009301579,44.4193865263]}"
"Athenae","","Athens","Ἀθῆναι","Athenae","theatre, plaza, cemetery, stoa, settlement, temple","ACHRRLEMLM","579885","","","","","{""type"":""Point"",""coordinates"":[23.7239851818,37.9727465455]}"
"Ephesus/Arsinoe(ia)","","Ephesus","Ἀρσινοΐα","Ephesus","settlement, temple, theatre","1EANMCAHHRRRTLLLPEAMRCIMOTELM","599612","","","","","{""type"":""Point"",""coordinates"":[27.34551256,37.94218342]}"
"Pergamum","","Pergamum","Πέργαμος","Pergamum","settlement, temple, theatre","MAMCAHHRRRTLLLEARCIMOE1OLM","550812","","","","","{""type"":""Point"",""coordinates"":[27.1839985,39.1317455]}"
"Pons Mulvius","","Pons Mulvius","","Pons Mulvius","bridge","HRL","423008","","","","","{""type"":""Point"",""coordinates"":[12.466944,41.935556]}"
"Mediolan(i)um","","Milan","","Mediolanum","urban, villa, theatre, settlement, amphitheatre, architecturalcomplex","CHRRLM","383706","","","","","{""type"":""Point"",""coordinates"":[9.18806,45.463746]}"
"Col. Carnuntum","","Col. Septimia Aurelia Antoniniana","","Col. Septimia Aurelia Antoniniana","settlement","RLM","128384","","","","","{""type"":""Point"",""coordinates"":[16.858333,48.116111]}"
"Col. Lugdunum","","Col. Lugdunum","","Col. Lugdunum","settlement, temple, theatre","CHRLM","167717","","","","","{""type"":""Point"",""coordinates"":[4.8194815,45.758866]}"
"Massalia/Massilia","","Massilia","Μασσαλία","Massilia","settlement","ACHRLM","148127","","","","","{""type"":""Point"",""coordinates"":[5.382499,43.296854]}"
"Brixia","","Brixia","","Brixia","settlement, temple, theatre, church","CHRLEM","383603","","","","","{""type"":""Point"",""coordinates"":[10.22625971,45.53992708]}"
"Mutina","","Mutina","","Mutina","settlement","RLM","383715","","","","","{""type"":""Point"",""coordinates"":[10.925223,44.647057]}"
"Carthago","","Carthage","Καρχηδών","Carthago","villa, theatre, circus, cemetery, bath, church, settlement, amphitheatre, port","ACHRRLMM","314921","","","","","{""type"":""Point"",""coordinates"":[10.32722045,36.85387525]}"
"Palmyra","","Thadamora","Παλμύρα","Thadamora","urban, theatre, oasis, station, settlement, temple","LME1NCAHHRRRTLLCEAMCI1OLMM","668331","","","","","{""type"":""Point"",""coordinates"":[38.2668818,34.5522366]}"
"Sirmium","","Sremska Mitrovica","","Sremska Mitrovica","settlement","RLM","207447","","","","","{""type"":""Point"",""coordinates"":[19.610106,44.966447]}"
"Hadrianopolis","","Hadrianopolis","","Hadrianopolis","settlement","RL","501427","","","","","{""type"":""Point"",""coordinates"":[24.257643,41.140485]}"
