Age,Arms Position,Body Position,Burial Manner,direction,elevation,Feet position,find date,Findspot,floor,Hands position,head position,Legs position,level,Mortuary Gifts,Museum cat. #,my dating,Original burial #,period,Preservation,Remarks,Sex,square
mature,"L bent at R angle in Front of body, R closely flexed in front of chest and face",lateral R side,interred in Plain earth,"55 W of S, Skull SW",,,72631,"1.18, center N.0.0",,"L extended, R veside and little beneath face",lateral R side,contracted at R angle with body,0,"1.bottle with laterally perforations in neck behind pelvis (H67)
2.cup with definite metal form, ledge encircling the center, behind pelvis  (H66)
3.copper bracelet is at left lower arm close to the epipheses (H64)
4.copper tube is in front of chest, about .08 below the mandible, touching the R humerus which is stained green (H65)",33-16-51,IIIB-IIIC1,CH95x1,IIIB,fair but several bones and skull broken,"a bone pile was .03 above the legs of x1. it is possible that these bones were of an earlier burial, destroyed during the interment of x0. the bone pile had fragments of a male skeleton (not preserved). ",male,CH95
adult,,lateral L side,interred in plain earth,"general SW-NE, skull NE",,,72731,NEq 1.25,,,lateral L side,contracted,0,1. lapis bead may be gift od x2 (H86),33-16-176,IIIC2,CH95x2,IIIC2,good,badly disturbed,male,CH95
juvenile II,,scattered bones but calvarium (skull) complete,"interred in plain earth, perhps lying where person died,disorderly disposal",,,,80731,"center E, 1.25",,,,,0,"1. copper pin .30 behind skull (H240).
2. lapis lazuli pendant crescent shaped was with dirt near skull (H241)",33-16-177,?,CH95x3,IIIB-C,calbarium good,,female,CH95
infant II,flezed in front of chest,lateral L side,interred in plain earth,"3 W of N, skull N",,,0,"NEq, 1.05",,in front of face,lateral L side,contracted,0,"1. copper bracelet, thin disc like at procal part of the R lower arm
2.gray globular jar with bottle neck broken on the foot (disc)
3. fragment of a gray bowl nearby (disc)
4.large lapis bead found near knees (H86)
5. beaker (disc)
6. jar (disc)
",,IIIB,CH95x16,IIIB-IIIC1,"bad, no bones preserved",,,CH95
jvn,both flexed in front of chest,lateral,C.T.,,1.65,normal,10132,S border above wall tops L2 Depth 1.65,,both in front of forehead,lateral,contracted,1,1.stemmed grey goblet in close proximity of pelvis (4146) 2.grey bolbous jar including beads (4137),,IIIA,CH95x17,III early II late,bad,,,CH95
"adult, all teeth","r extended at side, left bent at 90 across lowest ribs",dorsal,C.T.,Sk 70 E,,,10132,L2 depth 2.20 above floor wiht wallbase,,"right extended acros right capping? feumors, left side at right elbow",lateral right,contracted towards right,1,n/a,,?,CH95x18,III grey (or II),bad,fragmented skeleton of a very young infant I was between right arm and face.,male,CH95
jvn?,crossed and flexed in front of chest,lateral right almost dorsal,C.T. very disturbed,,1.96,,10132,"L2 lenght, depth 1.96? ca. floor with wall tops",,left is flexed in front of chest,lateral right,contracted legs at 90,1,n/a,,?,CH95x19,III,bad,,,CH95
adult,flexed at chest symmetrically,dorsal,C.T.,SK 10 W,,left flexed ?,10132,above L2 walls at depth 1.45,,extended and crossed bellow chest,lateral left,contracted towards left,1,"1. copper bracelet on right lower arm (4143), 2.grey cup with ? at pelvis (4138)",,IIIB,CH95x20,IIIB,"bad, partly disturbed",,male,CH95
"adult, young?","right flexed in front of the chest, left bent across chest",lateral right almost dorsal,C.T.,SK 15 E,2.40,,10132,L2 Depth 2.40 above L2 floor,,"right curved towards forehead, left flexed> at right elbow",lateral right,contracted,1,n/a,,?,CH95x21,III,bad,,male,CH95
adult young,flexed in front og chest,lateral right,C.T.,Sk 75 W,2.50,flexed..?,10132,L2 slightly above base of wall Depth 2.50,,both bent towards face,lateral right,contracted,1,n/a,,?,CH95x22,III (early?),bad,,male,CH95
