Original burial #,find date,square,elevation,Findspot
CH95x1,7/26/31,CH_95,1.8,"1.18, center N.0.0"
CH95x16,8/8/31,CH_95,1.05,"NEq, 1.05"
CH95x17,01/01/32,CH_95,1.65,S border above wall tops L2 Depth 1.65
CH95x18,10/1/32,CH_95,2.2,L2 depth 2.20 above floor wiht wallbase
CH95x19,10/1/32,CH_95,1.96,"L2 lenght, depth 1.96? ca. floor with wall tops"
CH95x2,7/27/31,CH_95,1.25,NEq 1.25
CH95x20,10/1/32,CH_95,1.45,above L2 walls at depth 1.45
CH95x21,10/1/32,CH_95,2.40,L2 Depth 2.40 above L2 floor
CH95x22,10/1/32,CH_95,2.50,L2 slightly above base of wall Depth 2.50
CH95x23,10/1/32,CH_95,1.45,"below floor L1, depth 1.45"
CH95x27,10/1/32,CH_95,1.25,"ca L1, depth 1.25"
CH95x28,10/1/32,CH_95,2.55,"in L3, depth 2.55"
CH95x29,10/1/32,CH_95,2.35,"in L3, depth 2.35"
CH95x3,08/07/31,CH_95,1.25,"center E, 1.25"
CH95x30,10/1/32,CH_95,2.90,"in L 3, depth 2.90"
CH96x1,9/12/32,CH-96,1.10,top layer D. 1.10
CH96x10,10/2/32,CH-96,1.5,"below level 1, probably disturbed by x6, x8, x11 D. 1.45- 1.55"
CH96x11,10/2/32,CH-96,1.45," below level w, D 1. 45"
CH96x12,10/2/32,CH-96,1.30," below level 1, D 1.30"
CH96x13,10/2/32,CH-96,1.80,"beloew level 1, D 1.80"
CH96x14,10/2/32,CH-96,1.40,"below L1, perhaps same x with 13? D 1.40"
CH96x15,9/13/32,CH-96,1.30, ? layers...D 1.30
CH96x16,9/13/32,CH-96,0.70,top layers D .70
Ch96x17,9/13/32,CH-96,2.35,layers 2/3 D 2.35
CH96x19,9/13/32,CH-96,1.5,2nd layer D 1.50
CH96x2,9/12/32,CH-96,1.00,top layer D 1.0
CH96x20,9/13/32,CH-96,1.60,2nd layer D 1.60
CH96x21,10/1/32,CH-96,1.85,"level 2, slightly below floow level D 1.85"
CH96x22,9/13/32,CH-96,2.10,2nd layer D 2.10
CH96x23 ,9/13/32,CH-96,1.8,2nd layer D 1.80
CH96x24,9/13/32,CH-96,2.05,D 2.05
CH96x25,9/13/32,CH-96,1.50,2nd layer D 1.50
CH96x26,10/3/32,CH-96,1.80,below level1 D 1.80
CH96x27,10/2/32,CH-96,1.90,below level1 D 1.90
CH96x28,10/2/32,CH-96,1.95,below level 1 D 1.95
CH96x29,10/2/32,CH-96,1.80,below level 1 D 1.80
CH96x3,10/2/32,CH-96,1.65,"below level 1, D. 1.65"
CH96x30,10/2/32,CH-96,1.9,"below level 1, D 1.90"
CH96x31,10/1/32,CH-96,1.75,slightly below level 1 D 1.75
CH96x32,9/13/32,CH-96,2.05,2nd layer D 2.05
CH96x33,9/13/32,CH-96,1.95,2nd layer D 1.95
CH96x34,9/13/32,CH-96,1.95,2nd layer D 1.95
CH96x37,10/1/32,CH-96,1.8,below level 1 D 1.80
CH96x38,10/1/32,CH-96,1.9,below level 1 D 1.90
CH96x39,10/1/32,CH-96,1.75,slightly below level1 D 1.75
CH96x4,10/5/32,CH-96,1.45,below level 1 D. 1.45
CH96x40,11/2/32,CH-96,2.1,level 2 floor D.2.10
CH96x41,11/2/32,CH-96,2.4,level 2 floor D 2.40
