Point,square_id,x_start,y_start,depth,Date,date_id
DH_06_NW_start,DH_06,3,2,0.9,08/18/1932,2
DH_06_NE_start,DH_06,4,2,0.9,08/18/1932,2
DH_06_SE_start,DH_06,4,1,0.6,08/18/1932,2
DH_06_SW_start,DH_06,3,1,0.6,08/18/1932,2
DH_06_NW_end,DH_06,3,2,0.4,08/18/1932,2
DH_06_NE_end,DH_06,4,2,0.4,08/18/1932,2
DH_06_SE_end,DH_06,4,1,0.1,08/18/1932,2
DH_06_SW_end,DH_06,3,1,0.1,08/18/1932,2
DH_06_NW_start,DH_06,3,2,1.6,08/21/1932,5
DH_06_NE_start,DH_06,4,2,1.6,08/21/1932,5
DH_06_SE_start,DH_06,4,1,1.75,08/21/1932,5
DH_06_SW_start,DH_06,3,1,1.75,08/21/1932,5
DH_06_NW_end,DH_06,3,2,1.45,08/21/1932,5
DH_06_NE_end,DH_06,4,2,1.45,08/21/1932,5
DH_06_SE_end,DH_06,4,1,1.6,08/21/1932,5
DH_06_SW_end,DH_06,3,1,1.6,08/21/1932,5
DH_06_NW_start,DH_06,3,2,2.8,08/22/1932,6
DH_06_NE_start,DH_06,4,2,2.8,08/22/1932,6
DH_06_SE_start,DH_06,4,1,3.1,08/22/1932,6
DH_06_SW_start,DH_06,3,1,3.1,08/22/1932,6
DH_06_NW_end,DH_06,3,2,1.65,08/22/1932,6
DH_06_NE_end,DH_06,4,2,1.65,08/22/1932,6
DH_06_SE_end,DH_06,4,1,1.95,08/22/1932,6
DH_06_SW_end,DH_06,3,1,1.95,08/22/1932,6
DH_06_NW_start,DH_06,3,2,3.18,08/23/1932,7
DH_06_NE_start,DH_06,4,2,3.18,08/23/1932,7
DH_06_SE_start,DH_06,4,1,3.5,08/23/1932,7
DH_06_SW_start,DH_06,3,1,3.5,08/23/1932,7
DH_06_NW_end,DH_06,3,2,2.25,08/23/1932,7
DH_06_NE_end,DH_06,4,2,2.25,08/23/1932,7
DH_06_SE_end,DH_06,4,1,2.65,08/23/1932,7
DH_06_SW_end,DH_06,3,1,2.65,08/23/1932,7
DH_06_NW_start,DH_06,3,2,3.5,08/24/1932,8
DH_06_NE_start,DH_06,4,2,3.5,08/24/1932,8
DH_06_SE_start,DH_06,4,1,4.6,08/24/1932,8
DH_06_SW_start,DH_06,3,1,4.6,08/24/1932,8
DH_06_NW_end,DH_06,3,2,2.55,08/24/1932,8
DH_06_NE_end,DH_06,4,2,2.55,08/24/1932,8
DH_06_SE_end,DH_06,4,1,3.65,08/24/1932,8
DH_06_SW_end,DH_06,3,1,3.65,08/24/1932,8
DH_06_NW_start,DH_06,3,2,3.75,08/25/1932,9
DH_06_NE_start,DH_06,4,2,3.75,08/25/1932,9
DH_06_SE_start,DH_06,4,1,4.65,08/25/1932,9
DH_06_SW_start,DH_06,3,1,4.65,08/25/1932,9
DH_06_NW_end,DH_06,3,2,2.65,08/25/1932,9
DH_06_NE_end,DH_06,4,2,2.65,08/25/1932,9
DH_06_SE_end,DH_06,4,1,3.35,08/25/1932,9
DH_06_SW_end,DH_06,3,1,3.35,08/25/1932,9
DH_05_NW_start,DH_05,2,2,3,08/17/1932,1
DH_05_NE_start,DH_05,3,2,3,08/17/1932,1
DH_05_SE_start,DH_05,3,1,3.3,08/17/1932,1
DH_05_SW_start,DH_05,2,1,3.3,08/17/1932,1
DH_05_NW_end,DH_05,2,2,2.8,08/17/1932,1
DH_05_NE_end,DH_05,3,2,2.8,08/17/1932,1
DH_05_SE_end,DH_05,3,1,3.1,08/17/1932,1
DH_05_SW_end,DH_05,2,1,3.1,08/17/1932,1
DH_05_NW_start,DH_05,2,2,3.3,08/18/1932,2
DH_05_NE_start,DH_05,3,2,3.3,08/18/1932,2
DH_05_SE_start,DH_05,3,1,3.6,08/18/1932,2
DH_05_SW_start,DH_05,2,1,3.6,08/18/1932,2
DH_05_NW_end,DH_05,2,2,3.25,08/18/1932,2
DH_05_NE_end,DH_05,3,2,3.25,08/18/1932,2
DH_05_SE_end,DH_05,3,1,3.1,08/18/1932,2
DH_05_SW_end,DH_05,2,1,3.1,08/18/1932,2
DH_05_NW_start,DH_05,2,2,1.2,08/20/1932,4
DH_05_NE_start,DH_05,3,2,1.2,08/20/1932,4
DH_05_SE_start,DH_05,3,1,1.25,08/20/1932,4
DH_05_SW_start,DH_05,2,1,1.25,08/20/1932,4
DH_05_NW_end,DH_05,2,2,0.85,08/20/1932,4
DH_05_NE_end,DH_05,3,2,0.85,08/20/1932,4
DH_05_SE_end,DH_05,3,1,0.9,08/20/1932,4
DH_05_SW_end,DH_05,2,1,0.9,08/20/1932,4
DH_05_NW_start,DH_05,2,2,4.7,08/23/1932,7
DH_05_NE_start,DH_05,3,2,4.7,08/23/1932,7
DH_05_SE_start,DH_05,3,1,3.05,08/23/1932,7
