date,date_id,square_id,NW_xpoint,NW_ypoint,NE_xpoint,NE_ypoint,SE_xpoint,SE_ypoint,SW_xpoint,SW_ypoint,burials,EC,end_depth_C,end_depth_CN,end_depth_CS,features_notes,hoards,NE_corner,notes,NW_corner,SE_corner,,start_depth_C,start_depth_CN,start_depth_CS,SW_corner,WC
08/17/1932,1,DH_05,2,2,3,2,3,1,2,1,,,-3.05,-2.8,-3.1,,,,0.2,,,,-3.25,-3,-3.3,,
08/18/1932,2,CH_95,,,,,,,,,,,-1.95,-1.9,-1.9,,,,1,,,,-2.95,-2.9,-2.9,,
08/18/1932,2,DH_05,2,2,3,2,3,1,2,1,,,-2.85,-3.25 ,-3.1,,HOARD I at 3.25 in CN,,0.5-2.8,,,,-3.35,-3.3,-3.6,,
08/18/1932,2,DH_06,,,,,,,,,,,-0.4,-0.4,-0.1,,,,0.5,,,,-0.9,-0.9,-0.6,,
08/20/1932,4,CH_95,,,,,,,,,,,-2.1,-2,-2.2,,,,1,,,,-3.1,-3,-3.2,,
08/20/1932,4,DH_05,2,2,3,2,3,1,2,1,,,-1,-0.85,-0.9,,,,0.35,,,,-1.35,-1.2,-1.25,,
08/21/1932,5,CH_95,,,,,,,,,,,-2.4,-2.4,-2.35,,,,0.8,,,,-3.2,-3.2,-3.15,,
08/21/1932,5,DH_06,,,,,,,,,,,-1.55,-1.45,-1.6,,,,0.15,,,,-1.7,-1.6,-1.75,,
08/22/1932,6,DH_06,,,,,,,,,,,-1.8,-1.65,-1.95,,,,1.15,,,,-2.95,-2.8,-3.1,,
08/22/1932,6,CH_95,,,,,,,,,,,-2.55,-2.55,-2.5,something noted at -1.7 bwteeen CN start depth and C start depth,,,1.7,,,,-4.25,-4.25,-4.2,,
08/23/1932,7,CH_95,,,,,,,,,,,-2.8,-2.95,-2.8,,,,1.25,,,,-4.05,-4.2,-4.05,,
08/23/1932,7,DH_05,2,2,3,2,3,1,2,1,,,-3,-3.25,-3.1,,,,0.85,,,,-3.85,-4.7,-3.95,,
08/23/1932,7,DH_06,,,,,,,,,,,-2.45,-2.25,-2.65,,,,0.85,,,,-3.3,-3.18,-3.5,,
08/24/1932,8,CH_95,,,,,,,,,,,-2.95,-3.10,-3.05,,,,1.45,,,,-4.4,-4.55,-4.5,,
08/24/1932,8,DH_05,2,2,3,2,3,1,2,1,,,-3.35,-3.4,-3.35,something noted at -4.95 between CN and C,,,0.95,,,,-4.3,-4.35,-4.3,,
08/24/1932,8,DH_06,,,,,,,,,,,-2.9,-2.55,-3.65,,,,0.95,,,,-3.85,-3.5,-4.6,,
08/25/1932,9,CH_95,,,,,,,,,,,-3.05,-3.23,-3.25,,,,1.6,,,,-4.65,-4.85,-4.85,,
08/25/1932,9,DH_05,2,2,3,2,3,1,2,1,,,-3.3,-3.35,-3.35,,,,1.1,,,,-4.4,-4.45,-4.45,,
08/25/1932,9,DH_06,,,,,,,,,,,-2.9,-2.65,-3.35,,,,1.1,,,,-4,-3.75,-4.65,,
08/25/1932,9,CH_86,,,,,,,,,,-1.6,,,,,,-2.3,,-2.65,-1.15,,-1.8,-2.5,-1.1,-1.7,-2
08/25/1932,9,CH_87,,,,,,,,,,,,,,,,-4.7,,-2.3,-3.3,,-1.5,-2.8,-0.6,-1.15,-1.6
08/25/1932,9,CH_96,,,,,,,,,,-0.7,,,,,,-1.15,,-1.7,-0.7,,-1.15,-1.1,-1.2,-1.8,
08/25/1932,9,CH_97,,,,,,,,,,-5,,,,,,-3.3,,-1.15,,,-1.8,-0.6,,-0.7,-0.7
08/27/1932,11,CH_96,,,,,,,,,,,-.15,-0.2,-.35,,,,1.45,,,,-1,-1.05,-1.2,,
08/27/1932,11,CH_86,,,,,,,,,,,-1.95,-1.5,-0.95,,,,1.45,,,,-1.9,-2.35,-1.7,,
08/27/1932,11,CH_97,,,,,,,,,,,,,,,,,1.45,,,,-0.45,,,,-1.4
08/27/1932,11,CH_87,,,,,,,,,,,-0.45,,-0.05,,,,1.45,,,,-1.3,,-0.9,,
08/27/1932,11,CH_76,,,,,,,,,,-2.75,,,,,,-4.55,,-3.45,,,-2.8,-4.3,,,-2.85
08/28/1932,12,CH_96,,,,,,,,,,,-0.3,-0.35,-0.35,,,,1.6,,,,-1.3,-1.35,-1.35,,
08/28/1932,12,CH_86,,,,,,,,,,,-1.25,-1.5,-1,,,,,,,,-2.25,-2.5,-2,,
08/28/1932,12,CH_87,,,,,,,,,,,-1,-1.35,-0.5,,,,,,,,-2,-2.35,-1.5,,
08/28/1932,12,CH_97,,,,,,,,,,,-0.35,-0.3,0.2,,,,,,,,-0.65,-0.7,-0.8,,
08/28/1932,12,CH_74,,,,,,,,,,,-0.5,,-0.45,,,,,,,,-0.8,-2.35,-2.5,,
