Pleiades Name, Custom Name, English Name, Greek Name, Latin Name, Type, Time Period, Pleiades ID, Map Number, awmc_id, perseus_link, wikipedia_link, geometry
"Memphis","","Memphis","","Memphis","urban, settlement","NEOFM2SNTANLCAAHHPRRRTLLM","736963","","","","","{""type"":""Point"",""coordinates"":[31.255061,29.849491]}"
"Letopolis","","Letopolis","","Letopolis","settlement","ACHRL","727149","","","","","{""type"":""Point"",""coordinates"":[31.134607,30.121581]}"
"Sais","","Sais","","Sais","settlement","ACHRL","727217","","","","","{""type"":""Point"",""coordinates"":[30.768333,30.964722]}"
"Xois","","Xois","","Xois","settlement","RL","727256","","","","","{""type"":""Point"",""coordinates"":[30.93728,31.108961]}"
"Hermopolis Mikra","","Hermopolis Mikra","","Hermopolis Mikra","settlement","NO1ACHHPRRTLLIT1OLKM","727123","","","","","{""type"":""Point"",""coordinates"":[30.471298,31.033361]}"
"Heroonpolis","","Heroonpolis","","Heroonpolis","settlement","RL","727124","","","","","{""type"":""Point"",""coordinates"":[32.099207,30.553048]}"
"Bousiris","","Bousiris","","Bousiris","settlement","CHR","727090","","","","","{""type"":""Point"",""coordinates"":[31.2387955,30.913368]}"
"Athribis","","Athribis","","Athribis","settlement","MSNANCAHHPRRRTLLAFMM","727078","","","","","{""type"":""Point"",""coordinates"":[31.184479,30.47243]}"
"Leontopolis","","Leontopolis","","Leontopolis","settlement","HR","727146","","","","","{""type"":""Point"",""coordinates"":[31.360463,30.2883009]}"
"Sebennytos","","Sebennytos","","Sebennytos","settlement","A","727227","","","","","{""type"":""Point"",""coordinates"":[31.239569,30.962841]}"
"Heliopolis","","Heliopolis","","Heliopolis","settlement","NOMSNANCAHHPRRLCAFMMP","727117","","","","","{""type"":""Point"",""coordinates"":[31.284786,30.131757]}"
"Tanis","","Tanis","","Tanis","settlement","ACHRL","727236","","","","","{""type"":""Point"",""coordinates"":[31.881357,30.978171]}"
"Hermopolis","","Hermopolis","","Hermopolis","settlement","NPRLOLMOM","727122","","","","","{""type"":""Point"",""coordinates"":[31.379406,31.037798]}"
"Mendes","","Mendesii","","Mendesii","settlement","ACHRLPEOFMSNTLMP","727156","","","","","{""type"":""Point"",""coordinates"":[31.555712,30.9660215]}"
"Diospolis Kato","","Diospolis Kato","","Diospolis Kato","settlement","ACHRL","727111","","","","","{""type"":""Point"",""coordinates"":[31.570557,31.259561]}"
"Boubastis","","Boubastis","","Boubastis","settlement","ACHRL","727088","","","","","{""type"":""Point"",""coordinates"":[31.5072626667,30.576879]}"
"Elephantine","","Elephantine","","Elephantine","settlement","OFMSNACAHHPRLM","786021","","","","","{""type"":""Point"",""coordinates"":[32.889,24.09]}"
"Apollonopolis Magna","","Edfu","","Apollonopolis Magna","settlement","ACHRLM","785974","","","","","{""type"":""Point"",""coordinates"":[32.8732936296,24.9795361111]}"
"Diospolis Magna/Thebai","","Thebai","","Thebai","settlement, temple","OFM2SNANCAHHPRRLLAFI1MMP","786017","","","","","{""type"":""Point"",""coordinates"":[32.6355911,25.68502752]}"
"Coptos","","Coptos","Κόπτος","Coptos","settlement","ACHRL","786010","","","","","{""type"":""Point"",""coordinates"":[32.815787,25.996402]}"
"Diospolis Mikra","","Diospolis Mikra","","Diospolis Mikra","settlement","HM","756566","","","","","{""type"":""Point"",""coordinates"":[32.312497,26.016881]}"
"Abydos","","Abydos","","Abydos","settlement","AMCAHHRRRLLLEAMRCM","501325","","","","","{""type"":""Point"",""coordinates"":[26.411298,40.194214]}"
"Panopolis/Schmin","","Schmin","","Schmin","settlement","HRL","756613","","","","","{""type"":""Point"",""coordinates"":[31.746075,26.565878]}"
"Antaiopolis/Tkoou","","Tkoou","","Tkoou","settlement","HRL","756515","","","","","{""type"":""Point"",""coordinates"":[31.517443,26.8992835]}"
"Hypsele/Schotep","","Schotep","","Schotep","settlement","HRLM","756578","","","","","{""type"":""Point"",""coordinates"":[31.234697,27.146592]}"
"Lykopolis/Siout","","Siout","","Siout","settlement","OFM2SN1NAHHPRRLLASFIMT1OLMKOM","756593","","","","","{""type"":""Point"",""coordinates"":[31.1825335,27.181346]}"
"Koussai/Koskam","","Koussai","","Koussai","settlement","HRL","756588","","","","","{""type"":""Point"",""coordinates"":[30.817991,27.438183]}"
"Hermopolis Magna/Schmun","","Schmun","","Schmun","settlement","CHRL","756574","","","","","{""type"":""Point"",""coordinates"":[30.8033682143,27.7812514987]}"
"Kynopolis/Sko/Euergetis","","Sko","","Sko","settlement","HRL","736949","","","","","{""type"":""Point"",""coordinates"":[30.782897,28.479495]}"
"Ankyronpolis","","Ankyronpolis","","Ankyronpolis","settlement","HRLM","736888","","","","","{""type"":""Point"",""coordinates"":[30.916624,28.766518]}"
"Oxyrhynchus/Pemje","","Pemje","","Pemje","settlement","CHRL","736983","","","","","{""type"":""Point"",""coordinates"":[30.65172,28.542574]}"
"Herakleopolis","","Herakleopolis","","Herakleopolis","settlement","HRL","736920","","","","","{""type"":""Point"",""coordinates"":[30.934549,29.08554]}"
"Krokodilopolis/Ptolemais Euergetis","","Taaud ","Ἀρσινόη","Taaud ","settlement","OSNCHHPRRRTLLCAF1M1OLMKOMP","736948","","","","","{""type"":""Point"",""coordinates"":[30.835832,29.320878]}"
"Aphroditopolis/Aphrodito","","Aphroditopolis","","Aphroditopolis","settlement","RL","756532","","","","","{""type"":""Point"",""coordinates"":[31.416623,26.833145]}"
"Pathyris/Aphroditopolis","","Pathyris","","Pathyris","settlement, cemetery","NOFMSNACHHPRLFMM","786084","","","","","{""type"":""Point"",""coordinates"":[32.473946,25.369659]}"
"Antinoopolis","","Antinoopolis","","Antinoopolis","settlement","RL","756518","","","","","{""type"":""Point"",""coordinates"":[30.8810025,27.8105625]}"
"Naucratis","","Naucratis","","Naucratis","settlement","ACHRLM","727169","","","","","{""type"":""Point"",""coordinates"":[30.592078,30.900306]}"
"Alexandria","","Alexandria","Αλεξάνδρεια","Alexandria","theatre, cemetery, port, architecturalcomplex, settlement, temple","MN1AHHHPPRRRTLLPCEASITE1OLKOM","727070","","","","","{""type"":""Point"",""coordinates"":[29.9079146667,31.1982456667]}"
"Taposiris Megale","","Taposiris Megale","","Taposiris Megale","settlement, temple","HRRLM","727241","","","","","{""type"":""Point"",""coordinates"":[29.518872,30.946218]}"
