nulla,pidentity,inscription_num,action,fulldescription,quality,quality_greek,of_what,of_what_greek,to_whom,to_whom_greek
none,aphro0000440,IAph2007 8.113,benefaction,dedication1,none,none,"theater, block of seats",τὴν κερκεῖδα,Aphrodite,Ἀφροδίτ̣ῃ
none,aphro0000440,IAph2007 8.113,benefaction,dedication1,none,none,"theater, block of seats",τὴν κερκεῖδα,Augusti,θεοῖς Σεβαστοῖς
none,aphro0000440,IAph2007 8.113,benefaction,dedication1,none,none,"theater, block of seats",τὴν κερκεῖδα,People,τῶι Δήμωι
none,aphro0000440,IAph2007 8.113,benefaction,dedication1,none,none,"theater, vaults",τὰς ψελίδας,Aphrodite,Ἀφροδίτ̣ῃ
none,aphro0000440,IAph2007 8.113,benefaction,dedication1,none,none,"theater, vaults",τὰς ψελίδας,Augusti,θεοῖς Σεβαστοῖς
none,aphro0000440,IAph2007 8.113,benefaction,dedication1,none,none,"theater, vaults",τὰς ψελίδας,People,τῶι Δήμωι
none,aphro0000440,IAph2007 8.113,benefaction,dedication1,none,none,"theater, the third bank of seats in the auditorium",τὸ τρίτ̣ον διάζωμα τοῦ θεάτρου ,Aphrodite,Ἀφροδίτ̣ῃ
none,aphro0000440,IAph2007 8.113,benefaction,dedication1,none,none,"theater, the third bank of seats in the auditorium",τὸ τρίτ̣ον διάζωμα τοῦ θεάτρου ,Augusti,θεοῖς Σεβαστοῖς
none,aphro0000440,IAph2007 8.113,benefaction,dedication1,none,none,"theater, the third bank of seats in the auditorium",τὸ τρίτ̣ον διάζωμα τοῦ θεάτρου ,People,τῶι Δήμωι
none,aphro0000440,IAph2007 8.113,characterization1,dedication1,ambitious,φιλόδοξος ,none,none,none,none
none,aphro0000440,IAph2007 8.113,characterization2,dedication1,lover of the city,φιλόπολις ,none,none,none,none
none,aphro0001383,IAph2007 8.113,benefaction,dedication1,none,none,"theater, block of seats",τὴν κερκεῖδα,Aphrodite,Ἀφροδίτ̣ῃ
none,aphro0001383,IAph2007 8.113,benefaction,dedication1,none,none,"theater, block of seats",τὴν κερκεῖδα,Augusti,θεοῖς Σεβαστοῖς
none,aphro0001383,IAph2007 8.113,benefaction,dedication1,none,none,"theater, block of seats",τὴν κερκεῖδα,People,τῶι Δήμωι
none,aphro0001383,IAph2007 8.113,benefaction,dedication1,none,none,"theater, vaults",τὰς ψελίδας,Aphrodite,Ἀφροδίτ̣ῃ
none,aphro0001383,IAph2007 8.113,benefaction,dedication1,none,none,"theater, vaults",τὰς ψελίδας,Augusti,θεοῖς Σεβαστοῖς
none,aphro0001383,IAph2007 8.113,benefaction,dedication1,none,none,"theater, vaults",τὰς ψελίδας,People,τῶι Δήμωι
none,aphro0001383,IAph2007 8.113,benefaction,dedication1,none,none,"theater, the third bank of seats in the auditorium",τὸ τρίτ̣ον διάζωμα τοῦ θεάτρου ,Aphrodite,Ἀφροδίτ̣ῃ
none,aphro0001383,IAph2007 8.113,benefaction,dedication1,none,none,"theater, the third bank of seats in the auditorium",τὸ τρίτ̣ον διάζωμα τοῦ θεάτρου ,Augusti,θεοῖς Σεβαστοῖς
none,aphro0001383,IAph2007 8.113,benefaction,dedication1,none,none,"theater, the third bank of seats in the auditorium",τὸ τρίτ̣ον διάζωμα τοῦ θεάτρου ,People,τῶι Δήμωι
none,aphro0000956,IAph2007 8.113,benefaction,dedication2,none,none,"theater, the third bank of seats in the auditorium", τὸ τρίτ̣ον διάζωμα τοῦ θεάτρου ,Aphrodite,Ἀφροδίτ̣ῃ
none,aphro0000956,IAph2007 8.114,benefaction,dedication2,none,none,"theater, the third bank of seats in the auditorium", τὸ τρίτ̣ον διάζωμα τοῦ θεάτρου ,Augusti,θεοῖς Σεβαστοῖς
none,aphro0000956,IAph2007 8.115,benefaction,dedication2,none,none,"theater, the third bank of seats in the auditorium", τὸ τρίτ̣ον διάζωμα τοῦ θεάτρου ,People,τῶι Δήμωι
