site_name,phase_code,occupation_type,recovery_hand,recovery_drysieve,recovery_watersieve,recovery_other,total_assemblage_size,unidentifiable_bones_incl,note_assemblage_size
Abu Ghosh ,ABL,village,FALSE,FALSE,FALSE,FALSE,0,FALSE,
Abu Madi III,AMDIII,village,TRUE,TRUE,FALSE,TRUE,0,FALSE,
Ain Darat,AD,small village,FALSE,TRUE,FALSE,TRUE,351,FALSE,
Ain Ghazal,AG+,village,FALSE,TRUE,FALSE,TRUE,7027,FALSE,
Ain Ghazal,AG2,village,FALSE,TRUE,FALSE,TRUE,914,FALSE,
Ain Ghazal,AG3,village,FALSE,TRUE,FALSE,TRUE,2567,FALSE,
Ain Ghazal,AGD1,settlement,FALSE,TRUE,FALSE,TRUE,6099,FALSE,
Ain Ghazal,AGD2,village,FALSE,TRUE,FALSE,TRUE,6624,FALSE,
Ain Ghazal,AGD3,village,FALSE,TRUE,FALSE,TRUE,4195,FALSE,
Ain Ghazal,AGD4,village,FALSE,TRUE,FALSE,TRUE,7768,FALSE,
Ali Kosh,AKAK,Tell,FALSE,TRUE,FALSE,TRUE,7034,FALSE,
Ali Kosh,AKBM,Tell,FALSE,TRUE,FALSE,TRUE,3001,FALSE,
Ashkelon,ASK,pastoral camp,FALSE,TRUE,FALSE,TRUE,92328,FALSE,
Asiab,ASIA,encampment,FALSE,FALSE,FALSE,TRUE,1498,FALSE,
Aswad,AS1,Tell,FALSE,FALSE,FALSE,TRUE,1350,FALSE,
Aswad,AS2,Tell,FALSE,FALSE,FALSE,TRUE,2614,FALSE,
Aswad,AS3,Tell,FALSE,FALSE,FALSE,TRUE,3848,FALSE,
Aswad,AS4,Tell,FALSE,FALSE,FALSE,TRUE,1732,FALSE,
Atlit-Yam,AYAM,submerged village,TRUE,FALSE,FALSE,TRUE,700,FALSE,
Atlit-Yam,AYAMW,submerged well,FALSE,FALSE,TRUE,FALSE,0,FALSE,
Ayn Abu Nukhayla,AYNN,village,FALSE,TRUE,FALSE,TRUE,492,FALSE,
Azraq 31,AZ31-2,camp,FALSE,TRUE,FALSE,TRUE,1217,FALSE,
Azraq 31,AZ31-1,camp,FALSE,TRUE,FALSE,TRUE,56,FALSE,
Baja,BAJA,rockshelter,FALSE,TRUE,FALSE,FALSE,0,FALSE,
Basta,BA,settlement,FALSE,TRUE,FALSE,TRUE,38433,FALSE,
Beidha,BEII-III,Tell,FALSE,FALSE,FALSE,TRUE,3042,FALSE,
Beidha,BEIV-V,Tell,FALSE,FALSE,FALSE,TRUE,2017,FALSE,
Beidha,BEVI-VIII,Tell,FALSE,FALSE,FALSE,TRUE,970,FALSE,
Beisamoun,BMOUN,village,TRUE,TRUE,FALSE,TRUE,78,FALSE,
Bouqras,BQ1,Tell,FALSE,FALSE,FALSE,TRUE,917,FALSE,
Bouqras,BQ2,Tell,FALSE,FALSE,FALSE,TRUE,321,FALSE,
Bouqras,BQ3,Tell,FALSE,FALSE,FALSE,TRUE,293,FALSE,
