pleiades_id,name,Poem,Book,line,aeneas_path,gods,wheres_aeneas,godvisiting,noun_or_modified,place_form,modified_word,adjective,original_form,direct_speech
422995,Urbe(locOstia),Aeneid,9,8,1,,,,noun,urbe,,,,
971691208,Palatine,Aeneid,9,9,2,,,,genitive_singular,palatani,sceptra,,,iris_to_turnus
423025,Pallantium(locRome),Aeneid,9,9,2,,,,genitive_singular_name,sedem_evandri,sedem,,,
59822,Ganges,Aeneid,9,31,,,,,noun,ganges,,,,simile 
727172,Nile,Aeneid,9,31,,,,,noun,ganges,,,,simile 
550592,Ida,Aeneid,9,80,,,,,noun,ida,,phrygius,"tempore quo primum Phrygia formabat in IdaAeneas classem et pelagi petere alta parabat,ipsa deum fertur genetrix Berecyntia magnumvocibus his adfata Iovem",flashback
491677,Olympus,Aeneid,9,84,,,,,noun,olympo,,domito,,gaia_to_jove
550595,Troy,Aeneid,9,247,,,,,noun,,,,"di patrii, quorum semper sub numine Troia est",letes_prayer
1052,Italy,Aeneid,9,267,,,,,noun,italiam,,,si vero capere Italiam sceptrisque potiri contigerit victori et praedae dicere sortem,aletes_to_euryalusandnisus
550595,Troy,Aeneid,9,285,,,,,adjective,ilia,tellus,,genetrix quam tenuit non ilia tellus non moenia acestae,euryalus_to_aletes
462487,Acesta,Aeneid,9,286,,,,,genitive_singular_name,acestae,moenia,regis,,euryalus_to_aletes
423025,latin_city(locRome),Aeneid,9,367,,,,,,,,,,
422826,Alba,Aeneid,9,387,,,,,,,,,,
,Tagus' temples,Aeneid,9,418,,,,,,,,,,
347036492,Capitoline,Aeneid,9,448,,,,,genitive_singular,capitoli,saxum,immobile,,personal_interruption
462502,Symethus_River,Aeneid,9,585,,,,,adjective,symaethia,flumina,,,description_sonofarcens
465970,ara_palici,Aeneid,9,586,,,,,genitive_singular,palici,ara,"pinguis,placabillis",,description_sonofarcens
1052,Italy,Aeneid,9,601,,,,,noun,italiam,,,,remulus_to_phrygians
422995,ausonian_city(locOstia),Aeneid,9,638,,,,,not_specified,ausonias_acies_et_urbem,,,,
550595,Troy,Aeneid,9,644,,,,,noun,troiam,,,,apollo_to_iulus
393469,Padus,Aeneid,9,680,,,,,genitive_singular,padi,ripae,,,simile
393383,Athesis,Aeneid,9,680,,,,,noun,athesim,,amoenus,,simile
432808,Cumae,Aeneid,9,710,,,,,not_specified,euboico_baiarum_litore,,,,simile
442518,regia_Amatae(amato in Calabria?),Aeneid,9,737,,,,,genitive_singular,amatae,regia,,,Pandarus_to_Turnus
422843,Ardea,Aeneid,9,738,,,,,noun,ardea,,,,Pandarus_to_Turnus
423080,Tiber,Aeneid,9,815,,,,,not_specified,flumen,,,,
