,Amphitheater_id,date_built,pleiades_region,minRegionDate,maxRegionDate,built_after_founding
0,pompeiiAmphitheater,-70,Pompeii,-750.0,2100.0,680.0
1,cumaeAmphitheater,-70,Cumae/Kyme (Campanian),-750.0,640.0,680.0
2,pozzuoliEarlyAmphitheater,-70,Dikaiarcheia/Puteoli,-750.0,2100.0,680.0
3,paestumAmphitheater,-70,Poseidonia/Paestum,-750.0,2100.0,680.0
4,avellaAmphitheater,-70,Abella,-330.0,640.0,260.0
5,ferentoAmphitheater,-70,Lucus Feroniae,-550.0,640.0,480.0
6,sutriumAmphitheatre,-70,Sutrium,-550.0,640.0,480.0
7,telesiaAmphitheatre,-70,Telesia,-330.0,640.0,260.0
8,antiochAmphitheater,-70,Antiochia/Theoupolis,-1750.0,2100.0,1680.0
9,beneventoAmphitheater,-70,Beneventum/Maleventum,-330.0,2100.0,260.0
10,calviRisortaAmphitheater,-70,Cales,-550.0,640.0,480.0
11,capuaRepublicanAmphitheater,-70,Capua,-750.0,640.0,680.0
12,liternoAmphitheater,-70,Liternum,-330.0,640.0,260.0
13,teanoAmphitheater,-70,Tusculum,-750.0,2100.0,680.0
14,suessaAruncaAmphitheater,-70,Suessa Aurunca,-750.0,640.0,680.0
15,altripaldaAmphitheater,-70,Abellinum,-330.0,640.0,260.0
16,compsaAmphitheater,-70,Compsa,-550.0,640.0,480.0
17,corinthAmphitheater,-49,Corinthus/Korinthos,-750.0,2100.0,701.0
18,carmonaAmphitheater,-49,Carmo,-750.0,2100.0,701.0
19,espejoAmphitheater,-49,Ucubi/Col. Claritas Iulia,-330.0,300.0,281.0
20,meridaAmphitheater,-27,Emerita Augusta,-30.0,2100.0,3.0
21,conimbrigaAmphitheater,-27,Conimbriga,-750.0,640.0,723.0
22,syracuseAmphitheater,-27,Syracusae/Syrakousai,-750.0,2100.0,723.0
23,rusellaeAmphitheater,-27,Rusellae,-750.0,2100.0,723.0
24,luceriaNoukeriaAmphitheater,-27,Luceria/Noukeria (Apoulon),-550.0,2100.0,523.0
25,cimiezAmphitheater,-27,Cemenelum,-330.0,2100.0,303.0
26,veronaAmphitheatre,-27,Verona,-30.0,640.0,3.0
