Pleiades Name, Custom Name, English Name, Greek Name, Latin Name, Type, Time Period, Pleiades ID, Map Number, awmc_id, perseus_link, wikipedia_link, geometry
"Roma","","Rome","Ρώμη","Roma","urban, settlement, temple","ACHRLM","423025","","","","","{""type"":""Point"",""coordinates"":[""12.4861685"",""41.8917375""]}"
"Carnuntum","","Carnuntum","Καρνους","Carnuntum","villa, bath, arch, settlement, amphitheatre, architecturalcomplex, fort","RL","128376","","","","","{""type"":""Point"",""coordinates"":[16.867891,48.113346]}"
"Aquincum","","Budapest","","Aquincum","settlement, amphitheatre","RLM","197130","","","","","{""type"":""Point"",""coordinates"":[19.049483,47.564142]}"
"Deva","","Chester","","Deva","amphitheatre, fort","RL","79420","","","","","{""type"":""Point"",""coordinates"":[-2.892886,53.191502]}"
"Eburacum","","Eburacum","","Eburacum","settlement","RL","89175","","","","","{""type"":""Point"",""coordinates"":[-1.08551150171,53.9590529497]}"
"Bonna","","Bonna","","Bonna","fort","RRL","108818","","","","","{""type"":""Point"",""coordinates"":[7.096251,50.732632]}"
"Mogontiacum","","Mogontiacum","","Mogontiacum","settlement","RLMM","109169","","","","","{""type"":""Point"",""coordinates"":[8.26812294,49.99389806]}"
"Vindobona","","Vindobona","","Vindobona","fort","RLM","128537","","","","","{""type"":""Point"",""coordinates"":[16.373946,48.211345]}"
"Brigetio","","Brigetio","","Brigetio","settlement","RL","197180","","","","","{""type"":""Point"",""coordinates"":[18.169507,47.735239]}"
"Singidunum","","Belgrade","Σιγγιδών","Belgrade","settlement","RLM","207443","","","","","{""type"":""Point"",""coordinates"":[20.4503,44.8236]}"
"Viminacium","","Viminacium","","Viminacium","settlement, amphitheatre","RLM","207549","","","","","{""type"":""Point"",""coordinates"":[21.216122,44.736776]}"
"Apulum","","Alba Iulia","","Apulum","settlement, fort","R","206927","","","","","{""type"":""Point"",""coordinates"":[23.572315,46.066695]}"
"Novae","","Novae","","Novae","fort","RL","207310","","","","","{""type"":""Point"",""coordinates"":[21.888533,44.620434]}"
"Durostorum","","Silistra","Δουρόστολον","Durostorum","settlement","RL","216800","","","","","{""type"":""Point"",""coordinates"":[27.260103,44.119108]}"
"Troesmis","","Troesmis","","Troesmis","settlement, fort","RL","217025","","","","","{""type"":""Point"",""coordinates"":[28.1951,45.1432]}"
"Satala","","Satala","","Satala","fort","RL","874684","","","","","{""type"":""Point"",""coordinates"":[39.597934,40.027787]}"
"Melitene","","Melitene","","Melitene","settlement","MM1EANAHRRRTLLLPPCEAMERCCIMOTE1POLOMM","629040","","","","","{""type"":""Point"",""coordinates"":[38.361152,38.382217]}"
"Raphon/Raphana","","Rhaepta","","Rhaepta","settlement","HR","678360","","","","","{""type"":""Point"",""coordinates"":[36.1993395,32.8520335]}"
"Bostra/Col. Nova Traiana Alexandriana","","Bosra","","Col. Nova Traiana Alexandriana","settlement, mosque, temple, theatre","E1AHHHRRRTLLPCAMCILM","678073","","","","","{""type"":""Point"",""coordinates"":[36.481471925,32.517971025]}"
"Ierusalem/Hierosolyma/Col. Aelia Capitolina","","Ierusalem","Ιεροσόλυμα ","Ierusalem","settlement, temple","ETM2LE1INAAHHHPRRRRRTLLPCASCIE1OLKOM","687928","","","","","{""type"":""Point"",""coordinates"":[35.23474835,31.7774646]}"
"Lambaesis","","Lambaesis","","Lambaesis","settlement, amphitheatre, fort","RLM","334570","","","","","{""type"":""Point"",""coordinates"":[6.254778,35.490208]}"
"Alexandria","","Alexandria","Αλεξάνδρεια","Alexandria","theatre, cemetery, port, architecturalcomplex, settlement, temple","MN1AHHHPPRRRTLLPCEASITE1OLKOM","727070","","","","","{""type"":""Point"",""coordinates"":[29.9079146667,31.1982456667]}"
"Zeugma","","Seleukeia pros to Euphrate","ζεῦγμα","Seleukeia pros to Euphrate","settlement, theatre","HRL","658636","","","","","{""type"":""Point"",""coordinates"":[""37.8733395"",""37.0530905""]}"
