word,lexical_reference_form,play,line_number,playwright,genre
ὀργαῖς,ὀργή,ajax,640,sophocles,tragedy
ὀργήν,ὀργή,ajax,777,sophocles,tragedy
ὀργήν,ὀργή,ajax,1153,sophocles,tragedy
ὀργαίνειν,ὀργή,trachiniae,552,sophocles,tragedy
ὀργὴ,ὀργή,trachiniae,728,sophocles,tragedy
ὀργὴν,ὀργή,trachiniae,933,sophocles,tragedy
δύσοργος,ὀργή,trachiniae,1118,sophocles,tragedy
ὀργάνειας,ὀργή,oedipus_tyrannus,335,sophocles,tragedy
ὀργὴν,ὀργή,oedipus_tyrannus,337,sophocles,tragedy
ὀργίζοιτ’,ὀργή,oedipus_tyrannus,339,sophocles,tragedy
ὀργῆς,ὀργή,oedipus_tyrannus,344,sophocles,tragedy
ὀργῆς,ὀργή,oedipus_tyrannus,345,sophocles,tragedy
ὀργίζῃ,ὀργή,oedipus_tyrannus,364,sophocles,tragedy
ὀργῇ,ὀργή,oedipus_tyrannus,405,sophocles,tragedy
ὀργῇ,ὀργή,oedipus_tyrannus,524,sophocles,tragedy
ὀργῆς,ὀργή,oedipus_tyrannus,807,sophocles,tragedy
ὀργῇ,ὀργή,oedipus_tyrannus,1241,sophocles,tragedy
ὀργῇ,ὀργή,philoctetes,368,sophocles,tragedy
δύσοργος,ὀργή,philoctetes,377,sophocles,tragedy
ὀργὴν,ὀργή,philoctetes,1309,sophocles,tragedy
ὀργῆς,ὀργή,antigone,280,sophocles,tragedy
ὀργὰς,ὀργή,antigone,356,sophocles,tragedy
ὀργῆς,ὀργή,antigone,766,sophocles,tragedy
ὀργά,ὀργή,antigone,875,sophocles,tragedy
ὀργαῖς,ὀργή,antigone,956,sophocles,tragedy
ὀργὰς,ὀργή,antigone,1200,sophocles,tragedy
ὀργῆς,ὀργή,oedipus_at_colonus,411,sophocles,tragedy
ὀργῇ,ὀργή,oedipus_at_colonus,855,sophocles,tragedy
ὀργῆς,ὀργή,oedipus_at_colonus,905,sophocles,tragedy
ὀργά,ὀργή,elektra,222,sophocles,tragedy
ὀργὴν,ὀργή,elektra,369,sophocles,tragedy
ὀργὴν,ὀργή,elektra,628,sophocles,tragedy
ὀργὴν,ὀργή,elektra,1011,sophocles,tragedy
ὀργὰν,ὀργή,elektra,1283,sophocles,tragedy
πρόθυμος,θυμός,ajax,37,sophocles,tragedy
προθυμίαν,θυμός,ajax,583,sophocles,tragedy
ἀθυμῶ,θυμός,ajax,587,sophocles,tragedy
θυμῶν,θυμός,ajax,718,sophocles,tragedy
ὠμόθυμον,θυμός,ajax,885,sophocles,tragedy
θυμῷ,θυμός,ajax,955,sophocles,tragedy
θυμούμενος,θυμός,ajax,1018,sophocles,tragedy
θυμὸν,θυμός,ajax,1124,sophocles,tragedy
ἐνθυμίοις,θυμός,trachiniae,109,sophocles,tragedy
θυμοφθορῶ,θυμός,trachiniae,142,sophocles,tragedy
θυμοῦσθαι,θυμός,trachiniae,543,sophocles,tragedy
ἐπιθυμεῖν,θυμός,trachiniae,617,sophocles,tragedy
ἀθυμῶ,θυμός,trachiniae,666,sophocles,tragedy
προθυμίαν,θυμός,trachiniae,669,sophocles,tragedy
θυμός,θυμός,trachiniae,882,sophocles,tragedy
θυμῷ,θυμός,trachiniae,1118,sophocles,tragedy
προθυμῇ,θυμός,trachiniae,1119,sophocles,tragedy
θυμός,θυμός,trachiniae,1134,sophocles,tragedy
θυμοῦσθαι,θυμός,trachiniae,1230,sophocles,tragedy
προθυμίας,θυμός,oedipus_tyrannus,48,sophocles,tragedy
ἄθυμος,θυμός,oedipus_tyrannus,319,sophocles,tragedy
θυμοῦ,θυμός,oedipus_tyrannus,244,sophocles,tragedy
θυμοῦ,θυμός,oedipus_tyrannus,674,sophocles,tragedy
ἐνθύμιον,θυμός,oedipus_tyrannus,739,sophocles,tragedy
